time,angle,curLapTime,damage,gear,rpm,speedX,speedY,lastLapTime,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,wheel0,wheel1,wheel2,wheel3,trackPos,steer,accel,brake
1749563266900,0.00252932,2.336,0.0,1,942.478,-0.00942339,0.0480905,0.0,4.96568,5.15939,5.82135,7.34862,11.6167,200.0,146.322,77.6537,53.1261,40.6086,33.0687,28.0704,24.3905,21.4256,17.1348,13.3457,11.3328,10.3344,10.0344,-1.12442,1.31615,-1.51607,1.77443,0.337912,0.0,1.0,0.0
1749563266922,0.00252407,2.358,0.0,1,942.478,-0.00942868,0.0469344,0.0,4.96537,5.15907,5.82096,7.34811,11.6157,200.0,146.332,77.6572,53.1282,40.61,33.0697,28.0712,24.3913,21.4263,17.1353,13.3461,11.3331,10.3348,10.0347,1.59415,-1.50691,1.8208,-1.48097,0.337953,0.0,1.0,0.0
1749563266947,0.00256222,2.38,0.0,1,942.478,0.376369,0.0663547,0.0,4.96502,5.15875,5.82068,7.34788,11.6159,200.0,146.298,77.6476,53.1237,40.6074,33.0681,28.0701,24.3905,21.4257,17.1351,13.3462,11.3333,10.3351,10.035,0.61251,-0.528625,1.76155,-1.02522,0.338,0.0,1.0,0.0
1749563266967,0.00252074,2.402,0.0,1,942.478,0.734274,0.0133081,0.0,4.96483,5.1585,5.8203,7.34722,11.6141,200.0,146.423,77.6799,53.1372,40.6144,33.072,28.0724,24.3924,21.4273,17.1362,13.3469,11.3338,10.3353,10.0352,-1.37187,2.19644,0.182621,2.50171,0.338025,0.0,1.0,0.0
1749563266988,0.002577,2.424,0.0,1,942.478,1.04509,0.00631604,0.0,4.96481,5.15857,5.8205,7.3477,11.6158,200.0,146.441,77.6801,53.135,40.6117,33.0694,28.0699,24.3902,21.4256,17.1351,13.3463,11.3335,10.3352,10.0352,0.0226594,1.5237,1.73675,4.16318,0.338027,0.0,1.0,0.0
1749563267011,0.00269049,2.446,0.0,1,942.478,1.40599,0.0068284,0.0,4.96483,5.15875,5.82094,7.34871,11.6193,200.0,146.417,77.6663,53.1253,40.6042,33.0632,28.0646,24.386,21.4221,17.1329,13.3451,11.3328,10.3349,10.0352,2.54752,-0.568477,5.03487,1.70792,0.338025,0.0,1.0,0.0
1749563267034,0.00275534,2.468,0.0,1,942.478,1.80395,0.00101859,0.0,4.96484,5.15886,5.82119,7.3493,11.6214,200.0,146.509,77.6824,53.1283,40.6033,33.0609,28.0617,24.3835,21.4201,17.1316,13.3444,11.3325,10.3348,10.0352,2.0077,0.693794,4.92805,1.10888,0.338024,0.0,1.0,0.0
1749563267054,0.00285166,2.49,0.0,1,942.478,2.20837,-0.00272784,0.0,4.96486,5.15902,5.82158,7.35016,11.6244,200.0,146.595,77.6951,53.1288,40.6004,33.0568,28.0573,24.3798,21.4172,17.1297,13.3434,11.3319,10.3345,10.0352,0.357362,3.2323,1.54411,3.21654,0.338022,0.0,1.0,0.0
1749563267078,0.00307768,2.512,0.0,1,942.478,2.61656,-0.00104116,0.0,4.9649,5.1594,5.82247,7.3522,11.6315,200.0,146.529,77.6634,53.108,40.5848,33.0443,28.0468,24.3712,21.4103,17.1252,13.341,11.3306,10.334,10.0352,1.40536,2.68609,0.68721,3.20855,0.338017,0.0,1.0,0.0
1749563267099,0.00333994,2.534,0.0,1,942.478,2.9605,0.00531688,0.0,4.96495,5.15986,5.82353,7.35457,11.6398,200.0,146.451,77.6264,53.0837,40.5667,33.0298,28.0345,24.3612,21.4022,17.12,13.3382,11.3292,10.3333,10.0351,3.60298,0.728589,3.20417,3.20442,0.33801,0.0,1.0,0.0
1749563267122,0.00361555,2.556,0.0,1,942.478,3.33912,0.00166635,0.0,4.96498,5.1603,5.82458,7.35701,11.6484,200.0,146.397,77.5938,53.0606,40.5486,33.0149,28.0218,24.3508,21.3938,17.1146,13.3353,11.3277,10.3326,10.0351,3.20799,1.89616,4.81066,1.85782,0.338008,0.0,1.0,0.0
1749563267145,0.00389689,2.578,0.0,1,942.478,3.67982,-0.00606493,0.0,4.96507,5.16081,5.82574,7.35961,11.6574,200.0,146.376,77.5684,53.0396,40.5312,32.9999,28.0087,24.3401,21.3852,17.109,13.3323,11.326,10.3319,10.035,1.7536,4.52974,4.88878,3.27294,0.337996,0.0,1.0,0.0
1749563267164,0.00425022,2.6,0.0,1,942.478,4.069,0.000885824,0.0,4.96518,5.16146,5.8272,7.36287,11.6688,200.0,146.29,77.5226,53.0083,40.5073,32.9805,27.9922,24.3265,21.3743,17.1019,13.3285,11.324,10.3309,10.0349,2.73983,4.00074,2.3403,5.83452,0.337982,0.0,1.0,0.0
1749563267186,0.00464409,2.622,0.0,1,942.478,4.45935,0.0038511,0.0,4.9653,5.16218,5.82881,7.3665,11.6815,200.0,146.186,77.4701,52.9729,40.4805,32.9588,27.9738,24.3116,21.3622,17.0941,13.3243,11.3217,10.3299,10.0349,4.81738,1.99193,3.80717,4.59001,0.337968,0.0,1.0,0.0
1749563267209,0.00501412,2.644,0.0,1,942.478,4.80834,-0.00203528,0.0,4.96545,5.16289,5.83039,7.36999,11.6935,200.0,146.158,77.4365,52.9453,40.4576,32.9391,27.9566,24.2974,21.3508,17.0866,13.3203,11.3196,10.3289,10.0347,4.4871,3.16843,6.5808,3.47948,0.337949,0.0,1.0,0.0
1749563267232,0.00537747,2.666,0.0,1,942.478,5.18098,-0.00192747,0.0,4.96562,5.16362,5.83195,7.37344,11.7054,200.0,146.183,77.4156,52.9225,40.4367,32.9204,27.9397,24.2835,21.3395,17.0793,13.3164,11.3174,10.3279,10.0346,3.07194,5.8056,5.28597,4.74167,0.337927,0.0,1.0,0.0
1749563267253,0.00595873,2.688,0.0,1,942.478,5.52364,0.0128084,0.0,4.96579,5.16467,5.83434,7.3788,11.7243,200.0,145.921,77.3132,52.8615,40.3937,32.8872,27.9126,24.2614,21.3218,17.0678,13.3102,11.3141,10.3264,10.0345,3.82664,5.21306,5.61083,7.50296,0.337907,0.0,1.0,0.0
1749563267275,0.00630492,2.71,0.0,1,942.478,5.97758,0.0136247,0.0,4.96596,5.16536,5.83583,7.38211,11.7357,200.0,146.058,77.319,52.849,40.3775,32.8708,27.8967,24.2482,21.3111,17.0608,13.3064,11.3121,10.3254,10.0343,6.2215,3.42219,4.56718,5.06159,0.337887,0.0,1.0,0.0
