time,angle,curLapTime,damage,gear,rpm,speedX,lastLapTime,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,trackPos,steer,accel,brake
1749549326347,0.0111769,0.42,0.0,1,942.478,-0.00493676,0.0,7.33398,7.6141,8.5164,10.462,14.833,21.5958,28.0788,40.2549,72.044,200.0,48.1564,20.8267,13.845,10.4979,7.21979,5.13408,4.20857,3.78503,3.66675,-0.333363,0.0,1.0,0.0
1749549326364,0.0111392,0.44,0.0,1,942.478,-0.00518244,0.0,7.33398,7.61401,8.51626,10.4616,14.8319,21.5939,28.075,40.2471,72.0174,200.0,48.1806,20.8324,13.8474,10.4994,7.22005,5.1341,4.20845,3.78503,3.66675,-0.333363,0.0,1.0,0.0
1749549326385,0.0112885,0.46,0.0,1,942.478,-0.00542877,0.0,7.33398,7.61438,8.51708,10.4631,14.8356,21.6024,28.0897,40.2766,72.1163,200.0,48.0729,20.812,13.8398,10.4953,7.21823,5.13351,4.20806,3.78491,3.66675,-0.333363,0.0,1.0,0.0
1749549326407,0.0112503,0.48,0.0,1,942.478,-0.00565613,0.0,7.33398,7.6143,8.51682,10.4628,14.8345,21.6003,28.0855,40.2688,72.0921,200.0,48.1009,20.8174,13.8423,10.4961,7.21867,5.13354,4.20819,3.78491,3.66675,-0.333363,0.0,1.0,0.0
1749549326429,0.0113576,0.502,0.0,1,942.478,-0.005993,0.0,7.33398,7.61445,8.51729,10.4637,14.8373,21.6065,28.0964,40.2906,72.1625,200.0,48.0207,20.8037,13.8358,10.4928,7.21746,5.1332,4.2079,3.78491,3.66675,-0.333363,0.0,1.0,0.0
1749549326447,0.0114139,0.522,0.0,1,942.478,-0.00622145,0.0,7.33398,7.6147,8.51744,10.4644,14.8388,21.6097,28.1009,40.3028,72.1988,200.0,47.9796,20.7971,13.8332,10.4913,7.21696,5.13274,4.20777,3.78479,3.66675,-0.333363,0.0,1.0,0.0
1749549326467,0.0114682,0.542,0.0,1,942.478,-0.00646504,0.0,7.33398,7.61465,8.51786,10.4651,14.8401,21.6128,28.1065,40.3132,72.2346,200.0,47.9408,20.7902,13.8311,10.4897,7.21608,5.13276,4.20775,3.78479,3.66675,-0.333363,0.0,1.0,0.0
1749549326489,0.011524,0.562,0.0,1,942.478,-0.00667148,0.0,7.33398,7.61479,8.51814,10.4656,14.8416,21.6157,28.1115,40.3244,72.2719,200.0,47.901,20.783,13.8277,10.4886,7.21539,5.13241,4.20762,3.78479,3.66675,-0.333363,0.0,1.0,0.0
1749549326509,0.0116676,0.582,0.0,1,942.478,0.251883,0.0,7.33411,7.61516,8.51897,10.467,14.8458,21.6246,28.126,40.3538,72.3675,200.0,47.7944,20.7657,13.8196,10.4845,7.21354,5.13158,4.20724,3.78467,3.66663,-0.333363,0.0,1.0,0.0
1749549326527,0.0116871,0.602,0.0,1,942.478,0.700516,0.0,7.33423,7.61536,8.51914,10.4675,14.8465,21.6258,28.128,40.3591,72.3812,200.0,47.7799,20.7625,13.8191,10.4833,7.21316,5.13119,4.20702,3.78442,3.6665,-0.333385,0.0,1.0,0.0
1749549326549,0.0115259,0.622,0.0,1,942.478,1.02866,0.0,7.33423,7.61524,8.51858,10.4663,14.8424,21.6163,28.1125,40.3259,72.2771,200.0,47.8959,20.7818,13.826,10.4878,7.21497,5.13197,4.20736,3.78442,3.6665,-0.333407,0.0,1.0,0.0
1749549326619,0.011555,0.642,0.0,1,942.478,1.35702,0.0,7.33435,7.61533,8.5189,10.4665,14.8435,21.619,28.1156,40.333,72.2971,200.0,47.8696,20.7763,13.825,10.4857,7.21411,5.13146,4.20685,3.78418,3.66614,-0.333452,0.0,1.0,0.0
1749549326620,0.0115779,0.662,0.0,1,942.478,1.63246,0.0,7.33472,7.61563,8.51932,10.4674,14.8448,21.6206,28.1183,40.3386,72.3175,200.0,47.8494,20.7732,13.8225,10.4843,7.21331,5.13109,4.20665,3.78381,3.66602,-0.333496,0.0,1.0,0.0
1749549326621,0.0116065,0.682,0.0,1,942.478,2.06539,0.0,7.33508,7.61611,8.51986,10.468,14.846,21.6231,28.1221,40.3455,72.3413,200.0,47.8243,20.767,13.8191,10.4829,7.21196,5.13029,4.20613,3.78357,3.66565,-0.333563,0.0,1.0,0.0
1749549326629,0.0116027,0.702,0.0,1,942.478,2.34399,0.0,7.33545,7.6167,8.52032,10.4687,14.8468,21.6238,28.1228,40.3467,72.3452,200.0,47.8186,20.7657,13.8177,10.4815,7.21125,5.12956,4.20561,3.78296,3.66516,-0.333651,0.0,1.0,0.0
1749549326650,0.0116242,0.722,0.0,1,942.478,2.74426,0.0,7.33594,7.61713,8.52092,10.4695,14.8483,21.6261,28.1256,40.3525,72.3639,200.0,47.7994,20.7616,13.8151,10.4799,7.21019,5.12895,4.20502,3.78259,3.66479,-0.333718,0.0,1.0,0.0
1749549326668,0.0115932,0.742,0.0,1,942.478,3.08422,0.0,7.33655,7.61786,8.52132,10.4699,14.8487,21.6256,28.1238,40.3497,72.3507,200.0,47.8133,20.7625,13.815,10.4788,7.20951,5.12837,4.20435,3.78198,3.66431,-0.333829,0.0,1.0,0.0
1749549326689,0.0116037,0.762,0.0,1,942.478,3.42772,0.0,7.33704,7.61843,8.52213,10.471,14.8496,21.6275,28.1259,40.3523,72.3643,200.0,47.7992,20.759,13.8117,10.4769,7.20829,5.12757,4.20368,3.78137,3.66357,-0.33394,0.0,1.0,0.0
1749549326713,0.0115693,0.782,0.0,1,942.478,3.7717,0.0,7.33789,7.61889,8.52255,10.4713,14.85,21.6266,28.1234,40.3489,72.35,200.0,47.8144,20.7612,13.8122,10.4765,7.20756,5.1268,4.20306,3.78076,3.66296,-0.334051,0.0,1.0,0.0
1749549326730,0.011577,0.802,0.0,1,942.478,4.11628,0.0,7.33862,7.61969,8.52373,10.4726,14.8521,21.6288,28.1259,40.353,72.3648,200.0,47.7966,20.7555,13.808,10.4739,7.20561,5.12558,4.20222,3.77979,3.66199,-0.334206,0.0,1.0,0.0
1749549326749,0.0115407,0.822,0.0,1,942.478,4.46052,0.0,7.33936,7.62052,8.52432,10.4734,14.8525,21.6283,28.1234,40.3494,72.3508,200.0,47.8125,20.7568,13.8083,10.473,7.20467,5.12455,4.20138,3.77917,3.66138,-0.334339,0.0,1.0,0.0
1749549326768,0.011545,0.842,0.0,1,942.478,4.80456,0.0,7.34021,7.62131,8.52525,10.4744,14.8538,21.6304,28.125,40.3521,72.3626,200.0,47.8006,20.7528,13.8043,10.4706,7.20337,5.12352,4.20037,3.7782,3.66052,-0.334495,0.0,1.0,0.0
1749549326789,0.0115078,0.862,0.0,1,942.478,5.14861,0.0,7.34045,7.62158,8.52547,10.4746,14.8536,21.6287,28.1214,40.3463,72.3454,200.0,47.8224,20.757,13.8061,10.4707,7.20289,5.12316,4.20007,3.77783,3.66016,-0.334561,0.0,1.0,0.0
